Judul_Buku,Harga_Poundsterling_Y,Rating_Bintang_X1,Estimasi_Stok_X2
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,15
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,15
Batman: The Long Halloween (Batman),36.5,2,15
Batman: The Dark Knight Returns (Batman),15.38,5,15
Ayumi's Violin,15.48,2,15
Anonymous,46.82,4,15
Amy Meets the Saints and Sages,18.46,3,15
Amid the Chaos,36.58,1,15
Amatus,50.54,5,15
Agnostic: A Spirited Manifesto,12.51,5,15
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,15
You (You #1),43.61,5,15
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,15
Wild Swans,14.36,2,15
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,15
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,15
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,15
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,15
Walt Disney's Alice in Wonderland,12.96,5,15
V for Vendetta (V for Vendetta Complete),37.1,4,15
Until Friday Night (The Field Party #1),46.31,2,15
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,15
Twenty Yawns,22.08,2,15
Through the Woods,25.38,2,15
This Is Where It Ends,27.12,2,15
The Year of Magical Thinking,43.04,2,15
The Wright Brothers,56.8,4,15
The White Queen (The Cousins' War #1),25.91,5,15
The Wedding Pact (The O'Malleys #2),32.61,3,15
The Time Keeper,27.88,5,15
The Testament of Mary,52.67,4,15
The Star-Touched Queen,46.02,5,15
The Songs of the Gods,44.48,5,15
The Song of Achilles,37.4,5,15
The Rosie Project (Don Tillman #1),54.04,1,15
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,15
The Marriage of Opposites,28.08,4,15
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,15
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,15
The Loney,23.4,1,15
The Literature Book (Big Ideas Simply Explained),17.43,3,15
The Last Mile (Amos Decker #2),54.21,2,15
The Immortal Life of Henrietta Lacks,40.67,2,15
The Hidden Oracle (The Trials of Apollo #1),52.26,2,15
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,15
The Guilty (Will Robie #4),13.82,2,15
The First Hostage (J.B. Collins #2),25.85,3,15
The Dovekeepers,48.78,1,15
The Darkest Lie,35.35,5,15
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,15
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,1,15
The 14th Colony (Cotton Malone #11),39.24,1,15
That Darkness (Gardiner and Renner #1),13.92,1,15
Tastes Like Fear (DI Marnie Rome #3),10.69,1,15
Take Me with You,45.21,3,15
Swell: A Year of Waves,45.58,1,15
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,15
Still Life with Bread Crumbs,26.41,3,15
Steve Jobs,39.5,5,15
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,15
Someone Like You (The Harrisons #2),52.79,5,15
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,15
Shtum,55.84,4,15
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,15
salt.,46.78,4,15
Robin War,47.82,3,15
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,15
Rain Fish,23.57,3,15
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,15
Pet Sematary,10.56,3,15
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,15
Once Was a Time,18.28,2,15
Old School (Diary of a Wimpy Kid #10),11.83,5,15
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,15
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,15
My Name Is Lucy Barton,41.56,1,15
My Mrs. Brown,24.48,3,15
My Kind of Crazy,40.36,1,15
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,15
More Than Music (Chasing the Dream #1),37.61,2,15
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,15
Luis Paints the World,53.95,3,15
Luckiest Girl Alive,49.83,3,15
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,15
Love Is a Mix Tape (Music #1),18.03,1,15
Looking for Lovely: Collecting the Moments that Matter,29.14,5,15
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,15
Let It Out: A Journey Through Journaling,26.79,5,15
Lady Midnight (The Dark Artifices #1),16.28,5,15
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,15
Island of Dragons (Unwanteds #7),29.65,1,15
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,15
I Am Pilgrim (Pilgrim #1),10.6,4,15
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,15
"Hush, Hush (Hush, Hush #1)",47.02,3,15
Hold Your Breath (Search and Rescue #1),28.82,1,15
Hamilton: The Revolution,58.79,3,15
Greek Mythic History,10.23,5,15
God: The Most Unpleasant Character in All Fiction,30.03,5,15
Glory over Everything: Beyond The Kitchen House,45.84,3,15
Feathers: Displays of Brilliant Plumage,49.05,3,15
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,15
Every Last Word,46.47,3,15
Eligible (The Austen Project #4),27.09,3,15
El Deafo,57.62,5,15
Eight Hundred Grapes,14.39,4,15
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,15
"Eat Fat, Get Thin",54.07,2,15
Don't Get Caught,55.35,1,15
Doctor Sleep (The Shining #2),40.12,2,15
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,15
Dear Mr. Knightley,11.21,5,15
Daily Fantasy Sports,36.58,1,15
Crazy Love: Overwhelmed by a Relentless God,47.72,2,15
Cometh the Hour (The Clifton Chronicles #6),25.01,3,15
Code Name Verity (Code Name Verity #1),22.13,4,15
Clockwork Angel (The Infernal Devices #1),44.14,1,15
City of Glass (The Mortal Instruments #3),56.02,4,15
City of Fallen Angels (The Mortal Instruments #4),11.23,4,15
City of Bones (The Mortal Instruments #1),43.28,1,15
City of Ashes (The Mortal Instruments #2),47.27,1,15
Cell,20.29,4,15
Catching Jordan (Hundred Oaks),50.83,3,15
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,3,15
Carrie,46.23,2,15
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,15
Brain on Fire: My Month of Madness,49.32,5,15
Batman: Europa,32.01,2,15
Barefoot Contessa Back to Basics,28.01,1,15
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5,15
Balloon Animals,17.03,3,15
Art Ops Vol. 1,48.8,3,15
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4,15
Angels Walking (Angels Walking #1),34.2,2,15
Angels & Demons (Robert Langdon #1),51.48,3,15
All the Light We Cannot See,29.87,5,15
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,15
Abstract City,56.37,5,15
A Time of Torment (Charlie Parker #14),48.35,5,15
A Study in Scarlet (Sherlock Holmes #1),16.73,2,15
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2,15
A People's History of the United States,40.79,2,15
A Man Called Ove,39.72,1,15
A Distant Mirror: The Calamitous 14th Century,14.58,3,15
A Brush of Wings (Angels Walking #3),55.51,1,15
1491: New Revelations of the Americas Before Columbus,21.8,3,15
"The Three Searches, Meaning, and the Story",13.33,3,15
Searching for Meaning in Gailana,38.73,1,15
Rook,37.86,4,15
My Kitchen Year: 136 Recipes That Saved My Life,11.53,2,15
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1,15
Will You Won't You Want Me?,13.86,3,15
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,1,15
The Star-Touched Queen,32.3,5,15
The Silent Sister (Riley MacPherson #1),46.29,5,15
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,1,15
The Lonely City: Adventures in the Art of Being Alone,33.26,2,15
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,4,15
The Golden Condom: And Other Essays on Love Lost and Found,39.43,1,15
The Epidemic (The Program 0.6),14.44,5,15
The Dinner Party,56.54,2,15
The Diary of a Young Girl,59.9,3,15
The Children,11.88,3,15
Stars Above (The Lunar Chronicles #4.5),48.05,2,15
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3,15
Raspberry Pi Electronics Projects for the Evil Genius,49.67,4,15
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1,15
Psycho: Sanitarium (Psycho #1.5),36.97,5,15
Poisonous (Max Revere Novels #3),26.8,3,15
One with You (Crossfire #5),15.71,4,15
No Love Allowed (Dodge Cove #1),54.65,4,15
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,15
Most Wanted,35.28,3,15
"Love, Lies and Spies",20.55,2,15
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,5,15
Hide Away (Eve Duncan #20),11.84,1,15
Furiously Happy: A Funny Book About Horrible Things,41.46,4,15
Everyday Italian: 125 Simple and Delicious Recipes,20.1,5,15
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,1,15
Eleanor & Park,56.51,5,15
Dirty (Dive Bar #1),40.83,4,15
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,1,15
Boar Island (Anna Pigeon #19),59.48,3,15
A Paris Apartment,39.01,4,15
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,1,15
Troublemaker: Surviving Hollywood and Scientology,48.39,2,15
The Widow,27.26,2,15
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,15
The Improbability of Love,59.45,1,15
The Art of Startup Fundraising,21.0,3,15
Take Me Home Tonight (Rock Star Romance #3),53.98,3,15
Sleeping Giants (Themis Files #1),48.74,1,15
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,2,15
Playing with Fire,13.71,3,15
Off the Hook (Fishing for Trouble #1),47.67,3,15
Mothering Sunday,13.34,2,15
"Mother, Can You Not?",16.89,5,15
M Train,27.18,1,15
Lilac Girls,17.28,2,15
Lies and Other Acts of Love,45.14,1,15
Lab Girl,40.85,1,15
Keep Me Posted,20.46,4,15
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,3,15
Grey (Fifty Shades #4),48.49,4,15
"Exit, Pursued by a Bear",51.34,4,15
Daredevils,16.34,3,15
Cravings: Recipes for What You Want to Eat,20.5,3,15
Born for This: How to Find the Work You Were Meant to Do,21.59,5,15
Arena,21.36,4,15
Adultery,20.88,5,15
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,3,15
A Gentleman's Position (Society of Gentlemen #3),14.75,5,15
11/22/63,48.48,3,15
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,2,15
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,5,15
Without Shame,48.27,5,15
Watchmen,58.05,4,15
Unlimited Intuition Now,58.87,4,15
Underlying Notes,11.82,2,15
The Shack,28.03,1,15
The New Brand You: Your New Image Makes the Sale for You,44.05,5,15
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4,15
The Flowers Lied,16.68,2,15
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,1,15
The Book of Mormon,24.57,3,15
The Art and Science of Low Carbohydrate Living,52.98,5,15
The Alien Club,54.4,1,15
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,5,15
Nap-a-Roo,25.08,1,15
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,4,15
Modern Day Fables,47.44,2,15
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,1,15
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,15
Dress Your Family in Corduroy and Denim,43.68,3,15
Don't Forget Steven,33.23,1,15
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,2,15
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,4,15
A Shard of Ice (The Black Symphony Saga #1),56.63,3,15
A Hero's Curse (The Unseen Chronicles #1),50.49,3,15
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,2,15
"Zero to One: Notes on Startups, or How to Build the Future",34.06,3,15
Why Not Me?,17.76,1,15
When Breath Becomes Air,39.36,2,15
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,15
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,5,15
The New Drawing on the Right Side of the Brain,43.02,3,15
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4,15
The Martian (The Martian #1),41.39,2,15
The High Mountains of Portugal,51.15,1,15
The Grownup,35.88,1,15
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,1,15
South of Sunshine,28.93,1,15
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,5,15
Silence in the Dark (Logan Point #4),58.33,3,15
Shadows of the Past (Logan Point #1),39.67,5,15
Roller Girl,14.1,5,15
Rising Strong,21.82,3,15
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1,15
Please Kill Me: The Uncensored Oral History of Punk,31.19,4,15
Out of Print: City Lights Spotlight No. 14,53.64,5,15
My Life Next Door (My Life Next Door ),36.39,5,15
Miller's Valley,58.54,2,15
Man's Search for Meaning,29.48,3,15
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,2,15
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,3,15
Les Fleurs du Mal,29.04,5,15
Left Behind (Left Behind #1),40.72,2,15
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,5,15
Kierkegaard: A Christian Missionary to Christians,47.13,1,15
John Vassos: Industrial Design for Modern Life,20.22,4,15
I'll Give You the Sun,56.48,1,15
I Will Find You,44.21,1,15
Hystopia: A Novel,21.96,4,15
Howl and Other Poems,40.45,2,15
History of Beauty,10.29,4,15
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,2,15
Future Shock (Future Shock #1),55.65,5,15
Ender's Game (The Ender Quintet #1),43.64,1,15
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,1,15
Death by Leisure: A Cautionary Tale,37.51,4,15
Brilliant Beacons: A History of the American Lighthouse,11.45,3,15
Brazen: The Courage to Find the You That's Been Hiding,19.22,2,15
Between the World and Me,56.91,4,15
Being Mortal: Medicine and What Matters in the End,55.06,4,15
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,3,15
32 Yolks,53.63,2,15
